JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration,row_num
1,64,18,2024-06-10,Checkout,Drop-off,NULL,1
2,94,11,2025-07-09,Checkout,Drop-off,NULL,1
3,34,8,2024-06-14,ProductPage,View,235,1
4,33,18,2025-05-28,Checkout,Drop-off,NULL,1
5,91,10,2023-02-11,Homepage,Click,156,1
6,54,11,2025-12-19,Homepage,View,264,1
7,80,4,2023-08-25,Homepage,View,298,1
8,99,10,2025-07-03,ProductPage,View,287,1
9,31,4,2025-06-13,ProductPage,View,278,1
10,44,16,2025-04-23,ProductPage,View,30,1
11,23,12,2023-08-22,Checkout,Drop-off,NULL,1
12,97,12,2023-07-28,ProductPage,View,227,1
13,83,5,2024-06-20,Homepage,View,223,1
14,14,13,2025-11-01,ProductPage,View,13,1
15,9,1,2025-11-04,ProductPage,View,292,1
16,14,16,2024-07-17,Homepage,View,46,1
17,67,2,2025-12-11,Homepage,View,185,1
18,70,15,2025-10-13,Homepage,View,191,1
19,9,1,2024-08-15,Homepage,View,187,1
20,44,18,2024-02-19,productpage,View,154,1
21,58,20,2024-03-07,Checkout,Drop-off,NULL,1
22,12,1,2025-11-19,Homepage,Click,20,1
23,58,1,2023-07-05,Homepage,View,48,1
23,58,1,2023-07-05,Homepage,View,48,2
24,77,6,2025-06-25,Checkout,Drop-off,NULL,1
25,75,12,2023-11-23,ProductPage,View,239,1
26,78,20,2024-04-17,Homepage,View,129,1
27,36,9,2024-08-10,Homepage,View,214,1
28,1,20,2025-09-26,ProductPage,View,64,1
29,12,17,2025-06-01,Homepage,View,205,1
30,48,2,2023-05-03,ProductPage,View,242,1
31,81,19,2023-04-04,Homepage,View,130,1
32,67,11,2023-09-04,Checkout,Drop-off,NULL,1
33,2,5,2025-08-10,Homepage,View,26,1
34,55,15,2023-10-26,Homepage,View,233,1
35,60,19,2023-06-21,homepage,Click,162,1
36,17,2,2023-11-20,Checkout,Purchase,137,1
37,38,17,2024-06-18,Checkout,Drop-off,NULL,1
38,13,18,2023-02-23,ProductPage,View,227,1
39,63,18,2023-08-10,ProductPage,View,233,1
40,4,12,2024-12-22,Homepage,View,110,1
41,92,5,2025-11-23,ProductPage,View,124,1
42,95,10,2025-01-28,Homepage,View,172,1
43,21,8,2025-03-14,Homepage,View,40,1
44,29,3,2024-02-29,Homepage,View,193,1
45,94,6,2023-06-07,productpage,View,118,1
46,30,19,2025-10-27,Homepage,View,210,1
47,30,20,2024-02-18,checkout,Drop-off,NULL,1
48,52,13,2025-02-01,Homepage,View,241,1
49,93,14,2023-04-09,Homepage,Click,69,1
50,5,9,2024-04-19,Homepage,View,44,1
51,65,8,2025-09-29,ProductPage,View,272,1
52,15,9,2025-08-07,Checkout,Drop-off,NULL,1
53,24,4,2024-04-05,Homepage,View,182,1
54,9,11,2024-11-19,checkout,Drop-off,NULL,1
55,1,7,2024-03-17,Checkout,Drop-off,NULL,1
56,97,11,2023-12-20,Homepage,Click,234,1
57,52,14,2024-12-02,Homepage,View,253,1
58,51,20,2025-03-08,ProductPage,View,174,1
59,32,8,2024-08-19,Homepage,View,238,1
60,19,6,2025-06-17,ProductPage,View,190,1
61,69,20,2025-07-12,Homepage,Click,14,1
62,42,1,2024-10-22,Homepage,View,186,1
63,51,15,2025-05-22,Homepage,View,139,1
64,86,20,2023-07-03,ProductPage,View,77,1
65,54,10,2023-12-23,Homepage,View,101,1
66,52,2,2023-11-16,homepage,Click,242,1
67,25,1,2023-05-21,ProductPage,Click,57,1
68,45,16,2023-04-29,ProductPage,Click,250,1
69,82,19,2025-02-21,ProductPage,Click,158,1
70,75,17,2023-07-07,Homepage,View,297,1
71,40,20,2023-07-13,Checkout,Drop-off,NULL,1
72,47,15,2023-08-23,Homepage,Click,34,1
73,20,16,2024-09-17,Homepage,View,17,1
74,81,13,2024-09-26,Homepage,Click,291,1
75,93,1,2024-10-01,ProductPage,Click,279,1
76,42,17,2025-05-29,Checkout,Purchase,261,1
